country,year,top500_systems_count,top500_rmax_sum_pflops,ai_publications,ai_policy_initiatives_new,country_code,region,income_group,oecd_member,gpai_member,gdp_per_capita_usd,rd_gdp,researchers_per_million,it_net_secr,internet_users_pct,fixed_broadband_per100,mobile_cellular_per100,tertiary_enrollment_gross,ict_service_exports_pct,computer_comm_services_pct,hightech_exports_pct_manu,electric_power_kwh_per_capita
Argentina,2010,0,0.0,0.090796929,0,ARG,Latin America & Caribbean,Upper middle income,0,0,10260.13131,0.56104,1119.05035,1028,45.0,4028240.0,138.252,73.80366936,11.00195359,27.89465429,7.68411002,2777.733779
Argentina,2011,0,0.0,0.090223623,0,ARG,Latin America & Caribbean,Upper middle income,0,0,12704.28318,0.56597,1175.37229,1404,51.0,4572020.0,145.511,77.01011851,12.42246639,29.83844069,7.321730602,2880.783577
Argentina,2012,0,0.0,0.09795929,0,ARG,Latin America & Caribbean,Upper middle income,0,0,12949.71749,0.63491,1197.6554,2643,55.8,5148580.0,152.574,78.14651743,12.31280385,29.63962491,6.636366956,2917.622836
Argentina,2013,0,0.0,0.168062834,0,ARG,Latin America & Caribbean,Upper middle income,0,0,12963.67577,0.61849,1193.37333,3117,59.9,6251020.0,158.191,78.56816461,12.64825529,29.17250709,7.458207449,2940.929545
Argentina,2014,0,0.0,0.118655351,0,ARG,Latin America & Caribbean,Upper middle income,0,0,12233.14441,0.59396,1202.47388,3837,64.7,6519460.0,142.325,81.0725897,10.77504374,25.94117906,7.061134904,3036.207336
Argentina,2015,0,0.0,0.172469696,0,ARG,Latin America & Caribbean,Upper middle income,0,0,13679.6265,0.62262,1225.50983,5317,68.0431,6855840.0,142.241,83.75569333,11.15144036,25.34711904,9.22572828,3140.464207
Argentina,2016,0,0.0,0.12847769,0,ARG,Latin America & Caribbean,Upper middle income,0,0,12699.96231,0.55815,1254.06674,32040,70.969,7251670.0,145.147,86.67438329,12.17287435,28.58979213,8.98239948,3104.989251
Argentina,2017,0,0.0,0.114945097,0,ARG,Latin America & Caribbean,Upper middle income,0,0,14532.50093,0.55631,1206.01905,71731,74.2949,7842780.0,139.758,89.3297347,14.36642948,32.54408012,9.20544177,3005.764831
Argentina,2018,0,0.0,0.090060269,5,ARG,Latin America & Caribbean,Upper middle income,0,0,11752.79989,0.4883,1220.93622,83320,77.7,8473660.0,131.224,91.08465127,14.60191598,31.52666535,5.402984101,2971.343648
Argentina,2019,0,0.0,0.115628701,3,ARG,Latin America & Caribbean,Upper middle income,0,0,9955.974787,0.47813,1224.69939,135647,79.947,8793180.0,125.303,95.19282406,14.12192075,31.64790771,5.212790589,2876.718527
Argentina,2020,0,0.0,0.08488416,7,ARG,Latin America & Caribbean,Upper middle income,0,0,8535.59938,0.54126,1250.48347,167248,85.5144,9571560.0,121.181,99.36973487,20.99275019,41.14776591,6.903889256,2827.427398
Argentina,2021,0,0.0,0.062017999,1,ARG,Latin America & Caribbean,Upper middle income,0,0,10738.01792,0.52216,1288.13477,231834,87.1507,10489800.0,130.353,107.2195576,24.61355885,48.74481693,4.422891393,2942.910775
Argentina,2022,0,0.0,0.107043652,1,ARG,Latin America & Caribbean,Upper middle income,0,0,13962.18941,0.54947,1296.45435,240087,88.3754,11208100.0,131.484,107.1039014,18.82539697,37.40023849,4.751575243,2833.119098
Argentina,2023,0,0.0,0.072530752,2,ARG,Latin America & Caribbean,Upper middle income,0,0,14261.84657,0.54947,1296.45435,248239,89.229,11547700.0,137.706,107.8225741,15.87121427,32.76647593,5.449594406,2821.772332
Argentina,2024,1,3.87639,0.056483684,1,ARG,Latin America & Caribbean,Upper middle income,0,0,13969.78366,0.54947,1296.45435,249201,89.6672,11547700.0,137.706,107.8225741,15.74061313,34.69880129,3.850196975,2821.772332
Australia,2010,1,0.04959,1.539614211,0,AUS,East Asia & Pacific,High income,1,1,52313.8939,2.37009,4568.56658,30906,76.0,5510000.0,101.619,119.67939,3.556258764,15.73610379,16.51330126,10797.87125
Australia,2011,6,0.4004059,1.447105192,0,AUS,East Asia & Pacific,High income,1,1,62799.3895,2.23445,4568.56658,48509,79.4877,5552000.0,105.824,119.67939,3.619567473,15.54951715,17.95161777,10786.29101
Australia,2012,6,1.16257632,1.640839104,0,AUS,East Asia & Pacific,High income,1,1,68301.44025,2.2057700000000002,4568.56658,72472,79.0,5735000.0,106.5,119.67939,3.715027969,15.60112604,17.28555533,10486.56683
Australia,2013,5,2.05624882,1.687944464,0,AUS,East Asia & Pacific,High income,1,1,68476.67885,2.17709,4568.56658,81067,83.4535,5981000.0,107.332,119.67939,3.978805382,15.56076107,18.00751438,10298.9308
Australia,2014,6,2.4722586,1.559314016,0,AUS,East Asia & Pacific,High income,1,1,62817.20618,2.048055,4568.56658,92461,84.0,6536000.0,106.206,119.67939,4.002693419,15.45932575,18.99613047,10130.09801
Australia,2015,6,6.840109,1.585101487,0,AUS,East Asia & Pacific,High income,1,1,56970.3613,1.91902,4568.56658,108937,84.5605,6828000.0,107.608,119.67939,3.482250726,14.00291086,19.69214725,10157.16538
Australia,2016,5,3.444509,1.552046353,3,AUS,East Asia & Pacific,High income,1,1,50084.44406,1.899105,4568.56658,237318,86.54,7374000.0,109.129,119.6827774,3.391041318,13.58728736,20.62750447,10196.84793
Australia,2017,4,3.947448,1.583761053,2,AUS,East Asia & Pacific,High income,1,1,54117.54772,1.87919,4568.56658,530042,86.545,7922000.0,107.8,109.993309,3.128468459,13.30782182,18.09679246,10040.74886
Australia,2018,5,6.370593,1.438734317,10,AUS,East Asia & Pacific,High income,1,1,57410.17373,1.852445,4568.56658,822020,90.0,8427320.0,110.033,103.3220901,3.345908371,13.45279959,18.13710182,10036.67069
Australia,2019,5,6.669188,1.278123831,6,AUS,East Asia & Pacific,High income,1,1,55194.75851,1.8257,4568.56658,931399,93.6099,8802600.0,109.753,109.7595596,3.28826166,14.45295543,21.21993324,10025.72506
Australia,2020,2,10.91342,1.287232141,2,AUS,East Asia & Pacific,High income,1,1,51983.45237,1.840395,4568.56658,1022449,94.6935,9099620.0,104.93,110.1392212,3.861275478,24.92054564,21.47578987,9933.585577
Australia,2021,2,10.91342,1.314863846,8,AUS,East Asia & Pacific,High income,1,1,60758.90444,1.85509,4568.56658,1193898,96.9722,9301740.0,105.119,112.6882935,5.186920491,34.18246135,22.3940766,9843.213728
Australia,2022,5,17.19695,1.2422213,4,AUS,East Asia & Pacific,High income,1,1,65169.51911,1.85509,4568.56658,1255844,97.0424,9535410.0,109.469,106.2407608,4.095753376,27.88254966,25.83187041,9923.431671
Australia,2023,5,42.76784,1.256747192,5,AUS,East Asia & Pacific,High income,1,1,65058.37731,1.85509,4568.56658,1268103,97.0631,9682370.0,112.513,104.6483536,3.241643174,19.4193041,25.25827771,9819.871191
Australia,2024,5,55.63831,1.221927976,2,AUS,East Asia & Pacific,High income,1,1,64603.98563,1.85509,4568.56658,1204688,97.0631,9682370.0,112.513,104.6483536,2.995599478,19.32680478,25.15864165,9819.871191
