pc,explained_variance_ratio,cumulative_explained_variance
PC1,0.33442779867460765,0.33442779867460765
PC2,0.19978669253741843,0.5342144912120261
PC3,0.11912796846621067,0.6533424596782368
PC4,0.08386911541154775,0.7372115750897845
PC5,0.06102827944127691,0.7982398545310614
PC6,0.044641767424407876,0.8428816219554692
PC7,0.038278590712114764,0.881160212667584
PC8,0.026345995749022817,0.9075062084166069
PC9,0.02391479049003949,0.9314209989066464
PC10,0.019543647913488796,0.9509646468201353
PC11,0.013726422926808974,0.9646910697469442
PC12,0.0107207510929811,0.9754118208399253
PC13,0.009027948025647612,0.9844397688655729
PC14,0.006545802641584104,0.990985571507157
PC15,0.00525787647233281,0.9962434479794898
PC16,0.0037565520205101745,1.0
